,date,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,fighter_1,fighter_2,location,weight_class,winner,body_abs_1,body_abs_2,body_att_1,body_att_2,body_def_1,body_def_2,body_land_1,body_land_2,clinch_abs_1,clinch_abs_2,clinch_att_1,clinch_att_2,clinch_def_1,clinch_def_2,clinch_land_1,clinch_land_2,ground_abs_1,ground_abs_2,ground_att_1,ground_att_2,ground_def_1,ground_def_2,ground_land_1,ground_land_2,head_abs_1,head_abs_2,head_att_1,head_att_2,head_def_1,head_def_2,head_land_1,head_land_2,kd_1,kd_2,leg_abs_1,leg_abs_2,leg_att_1,leg_att_2,leg_def_1,leg_def_2,leg_land_1,leg_land_2,td_abs_1,td_abs_2,td_att_1,td_att_2,td_def_1,td_def_2,td_land_1,td_land_2
0,2024-07-27,Decision - Split,3,5:00,Shauna Bannon,Alice Ardelean,"Manchester, England, United Kingdom",Women's Strawweight Bout,Shauna Bannon,10,22,36,15,5,14,22,10,3,4,5,3,0,1,4,3,4,0,0,5,1,0,0,4,42,44,119,84,42,75,44,42,0,0,5,11,14,6,1,3,11,5,2,0,2,4,2,2,0,2
1,2022-07-23,Decision - Unanimous,3,5:00,Claudio Silva,Nicolas Dalby,"London, England, United Kingdom",Welterweight Bout,Nicolas Dalby,9,4,5,12,3,1,4,9,16,0,1,21,5,1,0,16,8,0,0,14,6,0,0,8,32,4,13,78,46,9,4,32,0,0,4,3,3,4,0,0,3,4,1,4,12,1,0,8,4,1
2,2022-07-30,Decision - Unanimous,3,5:00,Orion Cosce,Blood Diamond,"Dallas, Texas, USA",Welterweight Bout,Orion Cosce,26,10,13,29,3,3,10,26,29,9,14,37,8,5,9,29,0,8,11,1,1,3,8,0,28,14,38,55,27,24,14,28,0,0,9,1,1,14,5,0,1,9,0,3,8,1,1,5,3,0
3,2022-08-06,Submission,1,1:17,Mayra Bueno Silva,Stephanie Egger,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Mayra Bueno Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,6,1,1,11,5,0,1,6,0,0,2,3,3,2,0,0,3,2,1,0,0,1,0,0,0,1
4,2022-08-13,Decision - Majority,3,5:00,Youssef Zalal,Da'Mon Blackshear,"San Diego, California, USA",Bantamweight Bout,Draw,6,13,14,11,5,1,13,6,0,5,7,0,0,2,5,0,0,16,29,0,0,13,16,0,10,43,126,42,32,83,43,10,0,0,11,7,10,16,5,3,7,11,1,1,1,5,4,0,1,1
5,2022-08-20,KO/TKO,1,3:39,Daniel Lacerda,Victor Altamirano,"Salt Lake City, Utah, USA",Flyweight Bout,Victor Altamirano,9,3,4,10,1,1,3,9,2,2,6,2,0,4,2,2,41,4,6,53,12,2,4,41,48,14,36,71,23,22,14,48,1,1,1,5,5,2,1,0,5,1,0,0,0,0,0,0,0,0
6,2022-09-03,Submission,2,4:54,Stephanie Egger,Ailin Perez,"Paris, Ile-de-France, France",Women's Featherweight Bout,Stephanie Egger,9,3,3,12,3,0,3,9,6,3,3,6,0,0,3,6,2,7,8,3,1,1,7,2,7,9,16,20,13,7,9,7,0,0,0,3,3,2,2,0,3,0,1,2,7,3,2,5,2,1
7,2022-09-10,Decision - Split,3,5:00,Darian Weeks,Yohan Lainesse,"Las Vegas, Nevada, USA",Welterweight Bout,Yohan Lainesse,5,10,19,7,2,9,10,5,1,3,8,1,0,5,3,1,0,0,0,0,0,0,0,0,10,14,60,46,36,46,14,10,0,0,8,20,29,13,5,9,20,8,0,1,9,2,2,8,1,0
8,2022-09-17,KO/TKO,1,3:49,Nikolas Motta,Cameron VanCamp,"Las Vegas, Nevada, USA",Lightweight Bout,Nikolas Motta,4,1,3,10,6,2,1,4,0,0,0,0,0,0,0,0,0,9,10,0,0,1,9,0,7,22,41,26,19,19,22,7,1,0,4,1,1,4,0,0,1,4,0,0,0,0,0,0,0,0
9,2022-10-01,Submission,1,1:04,Guido Cannetti,Randy Costa,"Las Vegas, Nevada, USA",Bantamweight Bout,Guido Cannetti,2,3,3,4,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,4,1,0,0,0,0,4,5,0,0,1,4,0,0,1,1,0,0,0,1,0
10,2022-10-15,KO/TKO,1,1:33,Mike Jackson,Pete Rodriguez,"Las Vegas, Nevada, USA",Welterweight Bout,Pete Rodriguez,8,2,2,8,0,0,2,8,6,1,1,8,2,0,1,6,3,0,0,4,1,0,0,3,12,8,13,23,11,5,8,12,0,1,2,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0
11,2022-10-22,Decision - Majority,3,5:00,Karol Rosa,Lina Lansberg,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Women's Bantamweight Bout,Karol Rosa,20,13,16,20,0,3,13,20,16,15,20,16,0,5,15,16,2,15,16,2,0,1,15,2,15,31,46,39,24,15,31,15,0,1,1,10,12,1,0,2,10,1,0,3,6,0,0,3,3,0
12,2022-10-29,Submission,1,4:07,Christian Rodriguez,Joshua Weems,"Las Vegas, Nevada, USA",Bantamweight Bout,Christian Rodriguez,6,0,0,7,1,0,0,6,6,0,1,7,1,1,0,6,0,1,1,0,0,0,1,0,9,8,21,15,6,13,8,9,0,0,3,1,2,4,1,1,1,3,2,0,2,3,1,2,0,2
13,2022-11-05,KO/TKO,1,3:06,Tamires Vidal,Ramona Pascual,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Tamires Vidal,5,7,8,5,0,1,7,5,3,4,4,4,1,0,4,3,0,0,0,0,0,0,0,0,3,6,17,4,1,11,6,3,1,0,5,4,4,5,0,0,4,5,0,0,1,0,0,1,0,0
14,2022-11-12,KO/TKO,1,3:44,Carlos Ulberg,Nicolae Negumereanu,"New York City, New York, USA",Light Heavyweight Bout,Carlos Ulberg,1,2,2,4,3,0,2,1,0,0,0,0,0,0,0,0,0,2,3,0,0,1,2,0,0,8,15,7,7,7,8,0,1,0,1,4,6,3,2,2,4,1,0,0,0,0,0,0,0,0
15,2022-11-19,KO/TKO,3,1:27,Natalia Silva,Tereza Bleda,"Las Vegas, Nevada, USA",Women's Flyweight Bout,Natalia Silva,7,7,9,10,3,2,7,7,5,1,3,7,2,2,1,5,0,3,4,0,0,1,3,0,8,26,50,33,25,24,26,8,1,0,3,12,13,4,1,1,12,3,1,0,3,7,6,3,0,1
16,2022-11-19,Decision - Unanimous,3,5:00,Brady Hiestand,Fernie Garcia,"Las Vegas, Nevada, USA",Bantamweight Bout,Brady Hiestand,1,4,5,1,0,1,4,1,0,2,2,0,0,0,2,0,1,1,1,1,0,0,1,1,13,10,23,36,23,13,10,13,0,0,7,5,6,7,0,1,5,7,1,3,8,2,1,5,3,1
17,2022-11-19,Decision - Unanimous,3,5:00,Vanessa Demopoulos,Maria Oliveira,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Vanessa Demopoulos,20,5,5,21,1,0,5,20,3,3,3,3,0,0,3,3,0,34,38,0,0,4,34,0,55,44,68,124,69,24,44,55,1,0,8,6,7,9,1,1,6,8,0,2,4,0,0,2,2,0
18,2022-11-19,Decision - Split,3,5:00,Ricky Turcios,Kevin Natividad,"Las Vegas, Nevada, USA",Bantamweight Bout,Ricky Turcios,5,1,1,7,2,0,1,5,5,5,11,9,4,6,5,5,13,35,41,17,4,6,35,13,33,65,112,70,37,47,65,33,0,1,3,2,2,4,1,0,2,3,7,2,5,13,6,3,2,7
19,2022-11-19,Decision - Unanimous,3,5:00,Vince Morales,Miles Johns,"Las Vegas, Nevada, USA",Bantamweight Bout,Miles Johns,4,9,15,5,1,6,9,4,0,3,4,1,1,1,3,0,0,0,0,0,0,0,0,0,28,28,112,92,64,84,28,28,0,0,6,2,4,6,0,2,2,6,1,0,0,12,11,0,0,1
20,2022-11-19,Decision - Unanimous,3,5:00,Jennifer Maia,Maryna Moroz,"Las Vegas, Nevada, USA",Women's Flyweight Bout,Jennifer Maia,14,14,18,23,9,4,14,14,2,8,11,3,1,3,8,2,0,0,0,0,0,0,0,0,55,84,224,237,182,140,84,55,0,0,11,11,11,12,1,0,11,11,0,0,0,0,0,0,0,0
21,2022-11-19,Decision - Split,3,5:00,Charles Johnson,Zhalgas Zhumagulov,"Las Vegas, Nevada, USA",Flyweight Bout,Charles Johnson,34,41,54,62,28,13,41,34,6,14,18,8,2,4,14,6,1,0,0,1,0,0,0,1,36,64,142,119,83,78,64,36,0,0,49,10,13,53,4,3,10,49,1,0,2,4,3,2,0,1
22,2022-11-19,KO/TKO,1,3:24,Jack Della Maddalena,Danny Roberts,"Las Vegas, Nevada, USA",Welterweight Bout,Jack Della Maddalena,1,9,16,2,1,7,9,1,1,2,2,1,0,0,2,1,0,4,8,0,0,4,4,0,2,23,41,29,27,18,23,2,2,0,2,1,3,2,0,2,1,2,0,0,0,1,1,0,0,0
23,2022-11-19,KO/TKO,2,1:02,Kennedy Nzechukwu,Ion Cutelaba,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Kennedy Nzechukwu,0,2,2,1,1,0,2,0,0,0,0,1,1,0,0,0,1,9,10,1,0,1,9,1,7,22,40,23,16,18,22,7,1,0,2,0,0,2,0,0,0,2,2,0,1,8,6,1,0,2
24,2022-11-19,Decision - Unanimous,3,5:00,Chase Sherman,Waldo Cortes-Acosta,"Las Vegas, Nevada, USA",Heavyweight Bout,Waldo Cortes-Acosta,17,16,19,25,8,3,16,17,5,0,3,7,2,3,0,5,0,0,0,0,0,0,0,0,124,25,130,247,123,105,25,124,0,0,6,25,28,6,0,3,25,6,0,1,2,0,0,1,1,0
25,2022-11-12,Decision - Unanimous,3,5:00,Julio Arce,Montel Jackson,"New York City, New York, USA",Bantamweight Bout,Montel Jackson,5,8,17,7,2,9,8,5,4,1,2,5,1,1,1,4,11,0,0,19,8,0,0,11,39,13,102,95,56,89,13,39,0,1,4,5,7,4,0,2,5,4,0,1,2,3,3,1,1,0
26,2022-11-12,KO/TKO,1,4:51,Michael Trizano,SeungWoo Choi,"New York City, New York, USA",Featherweight Bout,Michael Trizano,3,2,2,7,4,0,2,3,1,1,1,3,2,0,1,1,0,10,12,0,0,2,10,0,19,28,49,61,42,21,28,19,2,1,4,2,2,5,1,0,2,4,0,0,0,1,1,0,0,0
27,2022-11-12,KO/TKO,1,2:30,Matt Frevola,Ottman Azaitar,"New York City, New York, USA",Lightweight Bout,Matt Frevola,4,1,2,5,1,1,1,4,0,2,3,1,1,1,2,0,0,2,2,0,0,0,2,0,6,10,24,17,11,14,10,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
28,2022-11-19,KO/TKO,3,1:03,Andre Fialho,Muslim Salikhov,"Las Vegas, Nevada, USA",Welterweight Bout,Muslim Salikhov,14,4,6,21,7,2,4,14,3,3,6,8,5,3,3,3,18,0,0,27,9,0,0,18,38,10,55,70,32,45,10,38,0,0,4,3,5,4,0,2,3,4,1,0,0,3,2,0,0,1
29,2022-11-12,Submission,1,3:37,Erin Blanchfield,Molly McCann,"New York City, New York, USA",Women's Flyweight Bout,Erin Blanchfield,3,1,2,3,0,1,1,3,0,0,0,0,0,0,0,0,0,18,19,0,0,1,18,0,2,22,34,7,5,12,22,2,0,0,2,2,2,3,1,0,2,2,0,1,1,0,0,0,1,0
30,2022-11-12,Decision - Unanimous,3,5:00,Karolina Kowalkiewicz,Silvana Gomez Juarez,"New York City, New York, USA",Women's Strawweight Bout,Karolina Kowalkiewicz,24,13,25,30,6,12,13,24,2,3,4,4,2,1,3,2,0,0,0,0,0,0,0,0,46,55,170,224,178,115,55,46,0,0,7,6,7,9,2,1,6,7,0,2,2,0,0,0,2,0
31,2022-11-12,Decision - Unanimous,3,5:00,Andre Petroski,Wellington Turman,"New York City, New York, USA",Middleweight Bout,Andre Petroski,12,9,11,23,11,2,9,12,0,3,3,1,1,0,3,0,3,7,15,3,0,8,7,3,22,32,83,54,32,51,32,22,0,0,7,1,2,9,2,1,1,7,1,8,11,3,2,3,8,1
32,2022-11-12,KO/TKO,1,1:20,Dominick Reyes,Ryan Spann,"New York City, New York, USA",Light Heavyweight Bout,Ryan Spann,1,4,4,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,7,1,8,16,9,7,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
33,2022-11-12,KO/TKO,1,2:01,Frankie Edgar,Chris Gutierrez,"New York City, New York, USA",Bantamweight Bout,Chris Gutierrez,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,14,8,5,0,6,0,1,4,2,6,5,1,4,2,4,0,0,0,0,0,0,0,0
34,2022-11-12,Submission,1,3:20,Brad Riddell,Renato Moicano,"New York City, New York, USA",Lightweight Bout,Renato Moicano,0,6,7,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16,32,22,10,6,10,0,0,0,2,2,1,1,0,2,0,0,0,1,1,1,1,0,0
35,2022-11-12,KO/TKO,2,4:06,Dan Hooker,Claudio Puelles,"New York City, New York, USA",Lightweight Bout,Dan Hooker,3,13,16,5,2,3,13,3,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,1,8,34,12,11,26,8,1,1,0,1,8,13,1,0,5,8,1,0,0,0,8,8,0,0,0
36,2022-11-12,Submission,2,1:05,Carla Esparza,Zhang Weili,"New York City, New York, USA",UFC Women's Strawweight Title Bout,Zhang Weili,8,0,1,9,1,1,0,8,0,0,0,0,0,0,0,0,13,0,1,15,2,1,0,13,20,6,31,58,38,25,6,20,0,0,9,0,0,11,2,0,0,9,0,1,4,0,0,3,1,0
37,2022-11-05,Submission,2,2:39,Carlos Candelario,Jake Hadley,"Las Vegas, Nevada, USA",Flyweight Bout,Jake Hadley,24,22,31,30,6,9,22,24,2,2,2,3,1,0,2,2,23,0,0,24,1,0,0,23,45,31,100,118,73,69,31,45,0,0,21,16,17,21,0,1,16,21,0,1,1,0,0,0,1,0
38,2022-11-12,KO/TKO,5,2:01,Israel Adesanya,Alex Pereira,"New York City, New York, USA",UFC Middleweight Title Bout,Alex Pereira,27,21,29,33,6,8,21,27,14,3,4,17,3,1,3,14,1,6,10,1,0,4,6,1,42,41,103,89,47,62,41,42,0,0,22,24,30,35,13,6,24,22,1,1,4,1,0,3,1,1
39,2022-11-05,KO/TKO,1,0:47,Polyana Viana,Jinh Yu Frey,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Polyana Viana,3,1,1,6,3,0,1,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,10,17,5,5,7,10,0,1,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
40,2022-11-05,Decision - Unanimous,3,5:00,Liudvik Sholinian,Johnny Munoz,"Las Vegas, Nevada, USA",Bantamweight Bout,Johnny Munoz,16,12,13,20,4,1,12,16,3,7,7,3,0,0,7,3,3,3,3,3,0,0,3,3,55,42,137,196,141,95,42,55,0,0,7,2,2,11,4,0,2,7,2,0,2,4,2,2,0,2
41,2022-11-05,Submission,1,4:54,Mario Bautista,Benito Lopez,"Las Vegas, Nevada, USA",Bantamweight Bout,Mario Bautista,2,12,13,2,0,1,12,2,0,0,0,0,0,0,0,0,4,12,15,4,0,3,12,4,6,20,41,14,8,21,20,6,0,0,9,12,13,9,0,1,12,9,0,1,1,0,0,0,1,0
42,2022-11-12,Submission,3,2:00,Dustin Poirier,Michael Chandler,"New York City, New York, USA",Lightweight Bout,Dustin Poirier,10,2,2,17,7,0,2,10,2,3,4,2,0,1,3,2,16,3,6,22,6,3,3,16,32,34,71,80,48,37,34,32,0,0,1,2,3,3,2,1,2,1,3,0,0,7,4,0,0,3
43,2022-11-05,Decision - Unanimous,3,5:00,Miranda Maverick,Shanna Young,"Las Vegas, Nevada, USA",Women's Flyweight Bout,Miranda Maverick,5,14,16,5,0,2,14,5,0,3,3,0,0,0,3,0,0,22,25,0,0,3,22,0,20,43,85,73,53,42,43,20,0,0,4,6,7,4,0,1,6,4,0,5,8,0,0,3,5,0
44,2022-11-05,Submission,3,2:05,Grant Dawson,Mark Madsen,"Las Vegas, Nevada, USA",Lightweight Bout,Grant Dawson,3,5,7,3,0,2,5,3,0,1,1,0,0,0,1,0,4,7,11,7,3,4,7,4,11,17,31,26,15,14,17,11,1,0,1,11,11,1,0,0,11,1,0,2,6,0,0,4,2,0
45,2022-11-05,KO/TKO,1,1:07,Darrick Minner,Shayilan Nuerdanbieke,"Las Vegas, Nevada, USA",Featherweight Bout,Shayilan Nuerdanbieke,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,26,11,0,0,15,19,0,0,36,17,0,0,19,0,1,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0
46,2022-11-05,Submission,3,3:33,Neil Magny,Daniel Rodriguez,"Las Vegas, Nevada, USA",Welterweight Bout,Neil Magny,15,16,21,17,2,5,16,15,3,10,14,3,0,4,10,3,0,1,1,2,2,0,1,0,36,38,85,76,40,47,38,36,0,0,15,3,3,15,0,0,3,15,0,5,7,1,1,2,5,0
47,2022-11-05,Submission,1,2:11,Tagir Ulanbekov,Nate Maness,"Las Vegas, Nevada, USA",Flyweight Bout,Tagir Ulanbekov,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,2,2,1,0,0,2,1,2,4,8,8,6,4,4,2,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,1,1,0
48,2022-11-05,KO/TKO,3,0:54,Marina Rodriguez,Amanda Lemos,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Amanda Lemos,10,3,8,13,3,5,3,10,3,0,0,4,1,0,0,3,1,1,1,1,0,0,1,1,16,6,26,36,20,20,6,16,0,0,3,10,18,4,1,8,10,3,1,0,0,2,1,0,0,1
49,2022-10-29,Decision - Unanimous,3,5:00,Cody Durden,Carlos Mota,"Las Vegas, Nevada, USA",Flyweight Bout,Cody Durden,5,3,3,9,4,0,3,5,0,0,0,0,0,0,0,0,5,10,17,7,2,7,10,5,6,13,33,19,13,20,13,6,0,0,1,1,1,1,0,0,1,1,0,4,8,0,0,4,4,0
50,2022-10-29,KO/TKO,1,1:32,Chase Hooper,Steve Garcia,"Las Vegas, Nevada, USA",Featherweight Bout,Steve Garcia,7,2,4,8,1,2,2,7,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,3,19,7,25,33,14,18,7,19,0,3,3,1,1,3,0,0,1,3,0,0,1,0,0,1,0,0
51,2022-10-29,Submission,2,3:04,Joseph Holmes,JunYong Park,"Las Vegas, Nevada, USA",Middleweight Bout,JunYong Park,0,5,7,0,0,2,5,0,0,0,1,0,0,1,0,0,4,1,2,5,1,1,1,4,13,8,24,26,13,16,8,13,0,0,5,7,9,7,2,2,7,5,2,0,0,4,2,0,0,2
52,2022-10-29,Submission,1,1:50,Andrei Arlovski,Marcos Rogerio de Lima,"Las Vegas, Nevada, USA",Heavyweight Bout,Marcos Rogerio de Lima,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,3,1,3,8,5,2,1,3,0,1,2,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0
53,2022-10-29,KO/TKO,1,4:09,Phil Hawes,Roman Dolidze,"Las Vegas, Nevada, USA",Middleweight Bout,Roman Dolidze,2,5,9,3,1,4,5,2,2,0,0,4,2,0,0,2,2,0,0,2,0,0,0,2,15,5,15,38,23,10,5,15,0,1,1,1,2,1,0,1,1,1,0,1,1,0,0,0,1,0
54,2022-10-29,Decision - Split,3,5:00,Dustin Jacoby,Khalil Rountree Jr.,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Khalil Rountree Jr.,18,27,34,23,5,7,27,18,5,4,5,6,1,1,4,5,0,0,0,0,0,0,0,0,49,69,194,193,144,125,69,49,0,0,18,24,27,21,3,3,24,18,0,0,3,0,0,3,0,0
55,2022-10-29,Submission,2,0:49,Josh Fremd,Tresean Gore,"Las Vegas, Nevada, USA",Middleweight Bout,Tresean Gore,1,11,14,2,1,3,11,1,1,4,7,5,4,3,4,1,0,0,0,0,0,0,0,0,7,8,35,14,7,27,8,7,0,0,2,5,5,4,2,0,5,2,3,0,1,4,1,1,0,3
56,2022-10-29,Decision - Unanimous,3,5:00,Waldo Cortes-Acosta,Jared Vanderaa,"Las Vegas, Nevada, USA",Heavyweight Bout,Waldo Cortes-Acosta,5,26,32,5,0,6,26,5,4,0,1,10,6,1,0,4,0,0,0,0,0,0,0,0,12,41,117,92,80,76,41,12,0,0,39,6,9,41,2,3,6,39,0,0,0,1,1,0,0,0
57,2022-10-29,Decision - Split,3,5:00,Tim Means,Max Griffin,"Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin,9,18,36,15,6,18,18,9,1,7,9,1,0,2,7,1,6,3,3,11,5,0,3,6,25,18,64,52,27,46,18,25,0,1,8,11,15,11,3,4,11,8,3,3,5,6,3,2,3,3
58,2022-10-29,KO/TKO,2,0:08,Calvin Kattar,Arnold Allen,"Las Vegas, Nevada, USA",Featherweight Bout,Arnold Allen,2,6,8,5,3,2,6,2,0,0,0,0,0,0,0,0,1,0,0,5,4,0,0,1,21,5,47,55,34,42,5,21,0,0,5,3,3,7,2,0,3,5,0,0,0,0,0,0,0,0
59,2022-10-22,Submission,3,4:26,Muhammad Mokaev,Malcolm Gordon,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Flyweight Bout,Muhammad Mokaev,2,8,8,2,0,0,8,2,5,0,0,5,0,0,0,5,7,12,12,7,0,0,12,7,15,13,22,35,20,9,13,15,0,0,0,0,0,1,1,0,0,0,1,6,7,1,0,1,6,1
60,2022-10-22,Decision - Unanimous,3,5:00,Armen Petrosyan,AJ Dobson,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Middleweight Bout,Armen Petrosyan,9,35,39,14,5,4,35,9,8,12,13,12,4,1,12,8,0,0,0,0,0,0,0,0,38,31,151,136,98,120,31,38,0,0,11,52,56,11,0,4,52,11,3,0,1,3,0,1,0,3
61,2022-10-22,Decision - Unanimous,3,5:00,Abubakar Nurmagomedov,Gadzhi Omargadzhiev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout,Abubakar Nurmagomedov,13,5,6,26,13,1,5,13,12,3,4,14,2,1,3,12,1,1,2,4,3,1,1,1,22,29,55,69,47,26,29,22,0,0,3,6,6,4,1,0,6,3,1,1,4,7,6,3,1,1
62,2022-10-22,Decision - Unanimous,3,5:00,Volkan Oezdemir,Nikita Krylov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Light Heavyweight Bout,Nikita Krylov,12,3,3,18,6,0,3,12,12,5,9,17,5,4,5,12,7,3,4,11,4,1,3,7,42,35,72,100,58,37,35,42,0,0,3,4,6,3,0,2,4,3,7,1,1,20,13,0,1,7
63,2022-10-22,Decision - Unanimous,3,5:00,Makhmud Muradov,Caio Borralho,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Middleweight Bout,Caio Borralho,1,3,6,4,3,3,3,1,0,0,0,0,0,0,0,0,9,7,15,9,0,8,7,9,13,10,28,23,10,18,10,13,0,0,5,1,1,5,0,0,1,5,1,2,2,2,1,0,2,1
64,2022-10-22,KO/TKO,2,4:47,Belal Muhammad,Sean Brady,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout,Belal Muhammad,4,11,19,6,2,8,11,4,1,1,3,1,0,2,1,1,0,0,0,0,0,0,0,0,40,64,183,98,58,119,64,40,0,0,14,5,7,14,0,2,5,14,0,0,0,5,5,0,0,0
65,2022-10-22,Decision - Unanimous,3,5:00,Katlyn Cerminara,Manon Fiorot,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Women's Flyweight Bout,Manon Fiorot,16,21,40,28,12,19,21,16,2,4,8,5,3,4,4,2,0,0,0,1,1,0,0,0,58,35,223,225,167,188,35,58,0,0,24,20,23,26,2,3,20,24,1,0,0,2,1,0,0,1
66,2022-10-22,Decision - Unanimous,3,5:00,Beneil Dariush,Mateusz Gamrot,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout,Beneil Dariush,9,15,21,12,3,6,15,9,4,2,3,5,1,1,2,4,0,5,6,0,0,1,5,0,22,35,100,67,45,65,35,22,1,0,2,9,9,2,0,0,9,2,4,0,0,19,15,0,0,4
67,2022-10-22,Decision - Split,3,5:00,Petr Yan,Sean O'Malley,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Bantamweight Bout,Sean O'Malley,6,13,18,14,8,5,13,6,4,5,6,4,0,1,5,4,0,6,9,1,1,3,6,0,63,24,57,132,69,33,24,63,0,0,15,21,21,17,2,0,21,15,0,6,13,1,1,7,6,0
68,2022-10-22,KO/TKO,2,3:44,Aljamain Sterling,TJ Dillashaw,"Abu Dhabi, Abu Dhabi, United Arab Emirates",UFC Bantamweight Title Bout,Aljamain Sterling,2,13,15,2,0,2,13,2,0,2,4,0,0,2,2,0,0,53,59,0,0,6,53,0,3,56,75,20,17,19,56,3,0,0,3,3,3,4,1,0,3,3,0,5,8,0,0,3,5,0
69,2022-10-22,Submission,2,3:16,Charles Oliveira,Islam Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",UFC Lightweight Title Bout,Islam Makhachev,5,12,15,6,1,3,12,5,5,7,8,5,0,1,7,5,4,2,5,5,1,3,2,4,25,7,23,35,10,16,7,25,0,1,0,0,1,0,0,1,0,0,2,0,1,3,1,1,0,2
70,2022-10-15,Submission,2,4:19,Tatsuro Taira,CJ Vergara,"Las Vegas, Nevada, USA",Flyweight Bout,Tatsuro Taira,5,5,5,6,1,0,5,5,3,3,4,3,0,1,3,3,4,4,6,4,0,2,4,4,13,14,28,23,10,14,14,13,0,0,1,3,3,1,0,0,3,1,0,3,8,0,0,5,3,0
71,2022-10-15,Decision - Unanimous,3,5:00,Piera Rodriguez,Sam Hughes,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Piera Rodriguez,11,42,48,15,4,6,42,11,14,33,35,14,0,2,33,14,0,3,3,1,1,0,3,0,55,32,101,135,80,69,32,55,0,0,3,9,11,5,2,2,9,3,0,5,11,1,1,6,5,0
72,2022-10-15,Submission,1,2:02,Joanderson Brito,Lucas Alexander,"Las Vegas, Nevada, USA",Featherweight Bout,Joanderson Brito,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,5,1,1,3,2,0,0,0,1,2,3,1,0,1,2,1,0,2,2,0,0,0,2,0
73,2022-10-15,Decision - Unanimous,3,5:00,Nick Maximov,Jacob Malkoun,"Las Vegas, Nevada, USA",Middleweight Bout,Jacob Malkoun,4,4,5,5,1,1,4,4,4,0,0,8,4,0,0,4,13,0,1,15,2,1,0,13,78,29,96,158,80,67,29,78,0,0,1,1,1,1,0,0,1,1,9,0,0,13,4,0,0,9
74,2022-10-15,Decision - Split,3,5:00,Mana Martinez,Brandon Davis,"Las Vegas, Nevada, USA",Bantamweight Bout,Mana Martinez,16,25,34,24,8,9,25,16,3,3,5,4,1,2,3,3,4,2,2,7,3,0,2,4,43,45,108,139,96,63,45,43,2,0,17,17,19,18,1,2,17,17,1,1,4,3,2,3,1,1
75,2022-10-15,KO/TKO,1,1:28,Misha Cirkunov,Alonzo Menifield,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Alonzo Menifield,2,2,2,2,0,0,2,2,1,2,2,2,1,0,2,1,3,0,0,3,0,0,0,3,6,2,5,15,9,3,2,6,0,1,0,1,1,0,0,0,1,0,0,0,4,0,0,4,0,0
