body_abs,body_att,body_def,body_land,clinch_abs,clinch_att,clinch_def,clinch_land,date,decision_method,distance_abs,distance_att,distance_def,distance_land,fight_duration_lastrnd,fight_duration_lastrnd_time,fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,fighter_id,fighter_name,fighter_status,ground_abs,ground_att,ground_def,ground_land,head_abs,head_att,head_def,head_land,kd,leg_abs,leg_att,leg_def,leg_land,location,n_pass,n_rev,n_sub,sig_str_abs,sig_str_att,sig_str_def,sig_str_land,td_abs,td_att,td_def,td_land,time_format,total_str_abs,total_str_att,total_str_def,total_str_land,weight_class,winner
"[0, 0]","[0, 2]","[2, 0]","[0, 0]","[1, 0]","[0, 1]","[0, 0]","[0, 1]","August 26, 2006",Decision - Unanimous,"[7, 7]","[38, 54]","[47, 31]","[7, 7]",3,5:00,5ed402ad08d9d4f9,Yushin Okami,acff437707625fc7,Alan Belcher,4130a743d9d22163,"acff437707625fc7,4130a743d9d22163","Yushin Okami,Alan Belcher","W,L","[0, 5]","[9, 0]","[0, 4]","[5, 0]","[5, 9]","[44, 48]","[43, 35]","[9, 5]","[0, 0]","[3, 3]","[3, 5]","[2, 0]","[3, 3]","Las Vegas, Nevada, USA","[0, 1]","[385, 100]","[0, 0]","[8, 12]","[47, 55]","[47, 35]","[12, 8]","[0, 5]","[9, 1]","[1, 4]","[5, 0]",3 Rnd (5-5-5),"[18, 59]","[97, 66]","[48, 38]","[59, 18]",Middleweight Bout,Yushin Okami
"[7, 6]","[7, 9]","[2, 1]","[6, 7]","[12, 12]","[18, 20]","[8, 6]","[12, 12]","September 23, 2006",Decision - Split,"[41, 44]","[128, 122]","[81, 84]","[44, 41]",3,5:00,38231925d72d1309,Jorge Gurgel,04d5718ed2661e8c,Danny Abbadi,15df64c02b6b0fde,"04d5718ed2661e8c,15df64c02b6b0fde","Jorge Gurgel,Danny Abbadi","W,L","[3, 2]","[13, 4]","[1, 11]","[2, 3]","[49, 49]","[149, 137]","[88, 100]","[49, 49]","[0, 0]","[0, 3]","[3, 0]","[0, 0]","[3, 0]","Anaheim, California, USA","[0, 0]","[123, 110]","[1, 0]","[56, 58]","[159, 146]","[90, 101]","[58, 56]","[0, 1]","[7, 0]","[0, 6]","[1, 0]",3 Rnd (5-5-5),"[79, 101]","[208, 173]","[94, 107]","[101, 79]",Lightweight Bout,Jorge Gurgel
"[2, 2]","[3, 2]","[0, 1]","[2, 2]","[2, 4]","[7, 5]","[3, 3]","[4, 2]","December 13, 2006",Decision - Unanimous,"[13, 11]","[36, 38]","[25, 25]","[11, 13]",3,5:00,abf6ea197979e634,Brock Larson,5eedbf1e9601be35,Keita Nakamura,65ddc8a9ac4e8531,"5eedbf1e9601be35,65ddc8a9ac4e8531","Brock Larson,Keita Nakamura","W,L","[1, 7]","[12, 1]","[0, 5]","[7, 1]","[14, 20]","[52, 42]","[28, 32]","[20, 14]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","San Diego, California, USA","[0, 0]","[602, 1]","[0, 1]","[16, 22]","[55, 44]","[28, 33]","[22, 16]","[0, 5]","[20, 1]","[1, 15]","[5, 0]",3 Rnd (5-5-5),"[75, 42]","[79, 104]","[29, 37]","[42, 75]",Welterweight Bout,Brock Larson
"[2, 5]","[7, 3]","[1, 2]","[5, 2]","[2, 0]","[0, 4]","[2, 0]","[0, 2]","January 25, 2007",Submission,"[21, 23]","[63, 100]","[79, 40]","[23, 21]",2,4:53,14df6d96c5f2d1df,Rich Clementi,7d21de9c6d7c98b2,Ross Pointon,7215953cd5c6254d,"7d21de9c6d7c98b2,7215953cd5c6254d","Rich Clementi,Ross Pointon","W,L","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 8]","[43, 86]","[80, 35]","[8, 6]","[0, 0]","[15, 10]","[13, 15]","[0, 3]","[10, 15]","Hollywood, Florida, USA","[0, 0]","[43, 0]","[1, 0]","[23, 23]","[63, 104]","[81, 40]","[23, 23]","[0, 1]","[1, 0]","[0, 0]","[1, 0]",3 Rnd (5-5-5),"[23, 26]","[66, 104]","[81, 40]","[26, 23]",Welterweight Bout,Rich Clementi
"[1, 1]","[1, 3]","[2, 0]","[1, 1]","[1, 4]","[7, 3]","[2, 3]","[4, 1]","January 25, 2007",Decision - Unanimous,"[13, 27]","[103, 69]","[56, 76]","[27, 13]",3,5:00,9c9039f921aa86ca,Din Thomas,40a604761ca7d64d,Clay Guida,c47df9303d318c67,"40a604761ca7d64d,c47df9303d318c67","Din Thomas,Clay Guida","W,L","[19, 2]","[3, 33]","[14, 1]","[2, 19]","[29, 28]","[108, 99]","[70, 80]","[28, 29]","[0, 0]","[3, 4]","[4, 3]","[0, 0]","[4, 3]","Hollywood, Florida, USA","[0, 0]","[48, 413]","[1, 0]","[33, 33]","[113, 105]","[72, 80]","[33, 33]","[5, 0]","[0, 16]","[11, 0]","[0, 5]",3 Rnd (5-5-5),"[93, 51]","[131, 170]","[77, 80]","[51, 93]",Lightweight Bout,Din Thomas
"[4, 0]","[0, 4]","[0, 0]","[0, 4]","[4, 1]","[1, 4]","[0, 0]","[1, 4]","January 25, 2007",Submission,"[1, 0]","[1, 1]","[0, 1]","[0, 1]",1,2:58,221928c8441779e4,Ed Herman,06f36cf4bd97ec77,Chris Price,0597a4528ebd1307,"06f36cf4bd97ec77,0597a4528ebd1307","Ed Herman,Chris Price","W,L","[0, 4]","[7, 0]","[0, 3]","[4, 0]","[1, 5]","[9, 1]","[0, 4]","[5, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","Hollywood, Florida, USA","[0, 0]","[163, 3]","[1, 1]","[5, 5]","[9, 5]","[0, 4]","[5, 5]","[0, 1]","[2, 0]","[0, 1]","[1, 0]",3 Rnd (5-5-5),"[8, 13]","[22, 9]","[1, 9]","[13, 8]",Middleweight Bout,Ed Herman
"[2, 3]","[3, 4]","[2, 0]","[3, 2]","[3, 9]","[10, 6]","[3, 1]","[9, 3]","January 25, 2007",Decision - Unanimous,"[3, 4]","[15, 24]","[21, 11]","[4, 3]",3,5:00,539a550c0c1acd3e,Joshua Burkman,6da99156486ed6c2,Chad Reiner,d8022d5526b1d937,"6da99156486ed6c2,d8022d5526b1d937","Joshua Burkman,Chad Reiner","W,L","[0, 14]","[24, 0]","[0, 10]","[14, 0]","[3, 16]","[37, 22]","[19, 21]","[16, 3]","[0, 0]","[1, 8]","[9, 4]","[3, 1]","[8, 1]","Hollywood, Florida, USA","[1, 0]","[736, 87]","[0, 2]","[6, 27]","[49, 30]","[24, 22]","[27, 6]","[1, 9]","[12, 3]","[2, 3]","[9, 1]",3 Rnd (5-5-5),"[41, 69]","[94, 68]","[27, 25]","[69, 41]",Welterweight Bout,Joshua Burkman
"[0, 5]","[8, 0]","[0, 3]","[5, 0]","[0, 12]","[14, 2]","[2, 2]","[12, 0]","January 25, 2007",Decision - Unanimous,"[17, 24]","[59, 40]","[23, 35]","[24, 17]",3,5:00,7253daded133e97c,Nate Marquardt,a8e6a69796280f17,Dean Lister,68c6cd5287b473a7,"a8e6a69796280f17,68c6cd5287b473a7","Nate Marquardt,Dean Lister","W,L","[1, 17]","[25, 1]","[0, 8]","[17, 1]","[9, 42]","[84, 32]","[23, 42]","[42, 9]","[4, 0]","[9, 6]","[6, 11]","[2, 0]","[6, 9]","Hollywood, Florida, USA","[0, 0]","[502, 0]","[0, 0]","[18, 53]","[98, 43]","[25, 45]","[53, 18]","[0, 2]","[2, 11]","[11, 0]","[2, 0]",3 Rnd (5-5-5),"[27, 66]","[112, 55]","[28, 46]","[66, 27]",Middleweight Bout,Nate Marquardt
"[8, 2]","[4, 11]","[3, 2]","[2, 8]","[1, 5]","[10, 7]","[6, 5]","[5, 1]","January 25, 2007",KO/TKO,"[22, 12]","[43, 53]","[31, 31]","[12, 22]",2,4:03,17b2d89ceb879a29,Hermes Franca,e0ec3c3b6b611f7e,Spencer Fisher,f34312c2ccfa0e00,"e0ec3c3b6b611f7e,f34312c2ccfa0e00","Hermes Franca,Spencer Fisher","W,L","[1, 8]","[27, 1]","[0, 19]","[8, 1]","[10, 23]","[76, 43]","[33, 53]","[23, 10]","[0, 0]","[6, 0]","[0, 7]","[1, 0]","[0, 6]","Hollywood, Florida, USA","[1, 0]","[233, 4]","[2, 0]","[24, 25]","[80, 61]","[37, 55]","[25, 24]","[0, 2]","[5, 0]","[0, 3]","[2, 0]",3 Rnd (5-5-5),"[52, 57]","[118, 90]","[38, 61]","[57, 52]",Lightweight Bout,Hermes Franca
"[0, 3]","[5, 1]","[1, 2]","[3, 0]","[2, 6]","[8, 5]","[3, 2]","[6, 2]","January 25, 2007",KO/TKO,"[2, 6]","[26, 16]","[14, 20]","[6, 2]",2,1:06,88d9e7ec7f228908,Rashad Evans,ee779c43a8926d52,Sean Salmon,7c0847d3854a95f2,"ee779c43a8926d52,7c0847d3854a95f2","Rashad Evans,Sean Salmon","W,L","[6, 1]","[1, 7]","[1, 0]","[1, 6]","[10, 10]","[30, 27]","[17, 20]","[10, 10]","[1, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","Hollywood, Florida, USA","[0, 0]","[2, 52]","[0, 0]","[10, 13]","[35, 28]","[18, 22]","[13, 10]","[2, 0]","[0, 3]","[1, 0]","[0, 2]",3 Rnd (5-5-5),"[15, 13]","[35, 33]","[18, 22]","[13, 15]",Light Heavyweight Bout,Rashad Evans
