body_abs,body_att,body_def,body_land,clinch_abs,clinch_att,clinch_def,clinch_land,date,decision_method,distance_abs,distance_att,distance_def,distance_land,fight_duration_lastrnd,fight_duration_lastrnd_time,fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,fighter_id,fighter_name,fighter_status,ground_abs,ground_att,ground_def,ground_land,head_abs,head_att,head_def,head_land,kd,leg_abs,leg_att,leg_def,leg_land,location,n_pass,n_rev,n_sub,sig_str_abs,sig_str_att,sig_str_def,sig_str_land,td_abs,td_att,td_def,td_land,time_format,total_str_abs,total_str_att,total_str_def,total_str_land,weight_class,winner
"[2, 3]","[3, 4]","[2, 0]","[3, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","October 01, 2022",Submission,"[2, 8]","[13, 7]","[5, 5]","[8, 2]",1,1:04,6c79db79da9ae874,Guido Cannetti,d05412b513b19621,Randy Costa,325ad0dd9126d3df,"d05412b513b19621,325ad0dd9126d3df","Guido Cannetti,Randy Costa","W,L","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 1]","[5, 3]","[3, 4]","[1, 0]","[0, 0]","[0, 4]","[5, 0]","[0, 1]","[4, 0]","Las Vegas, Nevada, USA","[0, 0]","[9, 0]","[1, 0]","[2, 8]","[13, 7]","[5, 5]","[8, 2]","[0, 1]","[1, 0]","[0, 0]","[1, 0]",3 Rnd (5-5-5),"[2, 8]","[13, 7]","[5, 5]","[8, 2]",Bantamweight Bout,Guido Cannetti
"[8, 2]","[2, 8]","[0, 0]","[2, 8]","[6, 1]","[1, 8]","[2, 0]","[1, 6]","October 15, 2022",KO/TKO,"[13, 9]","[14, 21]","[8, 5]","[9, 13]",1,1:33,84b04e8d6b251c54,Mike Jackson,0641c21bec209472,Pete Rodriguez,776d4262c4da38bf,"0641c21bec209472,776d4262c4da38bf","Mike Jackson,Pete Rodriguez","L,W","[3, 0]","[0, 4]","[1, 0]","[0, 3]","[12, 8]","[13, 23]","[11, 5]","[8, 12]","[0, 1]","[2, 0]","[0, 2]","[0, 0]","[0, 2]","Las Vegas, Nevada, USA","[0, 0]","[0, 15]","[0, 0]","[22, 10]","[15, 33]","[11, 5]","[10, 22]","[0, 0]","[1, 0]","[0, 1]","[0, 0]",3 Rnd (5-5-5),"[26, 11]","[16, 39]","[13, 5]","[11, 26]",Welterweight Bout,Pete Rodriguez
"[20, 13]","[16, 20]","[0, 3]","[13, 20]","[16, 15]","[20, 16]","[0, 5]","[15, 16]","October 22, 2022",Decision - Majority,"[18, 24]","[38, 42]","[24, 14]","[24, 18]",3,5:00,4011cdf1f182804c,Karol Rosa,351c4ec637380ad5,Lina Lansberg,2eeaefbfc7f9fcff,"351c4ec637380ad5,2eeaefbfc7f9fcff","Karol Rosa,Lina Lansberg","W,L","[2, 15]","[16, 2]","[0, 1]","[15, 2]","[15, 31]","[46, 39]","[24, 15]","[31, 15]","[0, 1]","[1, 10]","[12, 1]","[0, 2]","[10, 1]","Abu Dhabi, Abu Dhabi, United Arab Emirates","[0, 0]","[584, 168]","[0, 0]","[36, 54]","[74, 60]","[24, 20]","[54, 36]","[0, 3]","[6, 0]","[0, 3]","[3, 0]",3 Rnd (5-5-5),"[100, 160]","[190, 132]","[32, 30]","[160, 100]",Women's Bantamweight Bout,Karol Rosa
"[6, 0]","[0, 7]","[1, 0]","[0, 6]","[6, 0]","[1, 7]","[1, 1]","[0, 6]","October 29, 2022",Submission,"[12, 8]","[21, 19]","[7, 13]","[8, 12]",1,4:07,fdb9d29cf0edc16a,Christian Rodriguez,5ec591b78349ba7e,Joshua Weems,69888118d968ba52,"5ec591b78349ba7e,69888118d968ba52","Christian Rodriguez,Joshua Weems","W,L","[0, 1]","[1, 0]","[0, 0]","[1, 0]","[9, 8]","[21, 15]","[6, 13]","[8, 9]","[0, 0]","[3, 1]","[2, 4]","[1, 1]","[1, 3]","Las Vegas, Nevada, USA","[0, 0]","[56, 63]","[1, 0]","[18, 9]","[23, 26]","[8, 14]","[9, 18]","[2, 0]","[2, 3]","[1, 2]","[0, 2]",3 Rnd (5-5-5),"[22, 15]","[30, 32]","[10, 15]","[15, 22]",Bantamweight Bout,Christian Rodriguez
"[5, 7]","[8, 5]","[0, 1]","[7, 5]","[3, 4]","[4, 4]","[1, 0]","[4, 3]","November 05, 2022",KO/TKO,"[10, 13]","[25, 10]","[0, 12]","[13, 10]",1,3:06,b87ac039e3b13940,Tamires Vidal,4f3064faf17aa711,Ramona Pascual,3eb4dc9a7d4ac906,"4f3064faf17aa711,3eb4dc9a7d4ac906","Tamires Vidal,Ramona Pascual","W,L","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 6]","[17, 4]","[1, 11]","[6, 3]","[1, 0]","[5, 4]","[4, 5]","[0, 0]","[4, 5]","Las Vegas, Nevada, USA","[0, 0]","[56, 23]","[0, 0]","[13, 17]","[29, 14]","[1, 12]","[17, 13]","[0, 0]","[1, 0]","[0, 1]","[0, 0]",3 Rnd (5-5-5),"[17, 22]","[34, 18]","[1, 12]","[22, 17]",Women's Bantamweight Bout,Tamires Vidal
"[1, 2]","[2, 4]","[3, 0]","[2, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","November 12, 2022",KO/TKO,"[2, 12]","[20, 14]","[12, 8]","[12, 2]",1,3:44,db026ff6eee4d174,Carlos Ulberg,9014c02eff8b3d62,Nicolae Negumereanu,8c57c7b8c3bab0eb,"9014c02eff8b3d62,8c57c7b8c3bab0eb","Carlos Ulberg,Nicolae Negumereanu","W,L","[0, 2]","[3, 0]","[0, 1]","[2, 0]","[0, 8]","[15, 7]","[7, 7]","[8, 0]","[1, 0]","[1, 4]","[6, 3]","[2, 2]","[4, 1]","New York City, New York, USA","[0, 0]","[5, 0]","[0, 0]","[2, 14]","[23, 14]","[12, 9]","[14, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",3 Rnd (5-5-5),"[2, 14]","[23, 14]","[12, 9]","[14, 2]",Light Heavyweight Bout,Carlos Ulberg
"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 1]","[1, 1]","[1, 0]","[1, 0]","March 11, 1994",Submission,"[0, 0]","[0, 3]","[3, 0]","[0, 0]",1,0:20,4acab67848e78327,Scott Morris,be9d259be012e8a4,Sean Daugherty,a683f9ddb70aa4bd,"be9d259be012e8a4,a683f9ddb70aa4bd","Scott Morris,Sean Daugherty","W,L","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 1]","[1, 2]","[2, 0]","[1, 0]","[0, 0]","[0, 0]","[0, 2]","[2, 0]","[0, 0]","Denver, Colorado, USA","[0, 0]",,"[1, 0]","[0, 1]","[1, 4]","[4, 0]","[1, 0]","[0, 1]","[1, 0]","[0, 0]","[1, 0]",No Time Limit,"[1, 2]","[2, 5]","[4, 0]","[2, 1]",Open Weight Bout,Scott Morris
"[0, 1]","[1, 0]","[0, 0]","[1, 0]","[0, 1]","[1, 0]","[0, 0]","[1, 0]","March 11, 1994",Submission,"[1, 0]","[0, 1]","[0, 0]","[0, 1]",1,0:58,4b9ae533ccb3fcdf,Patrick Smith,46c8ec317aff28ac,Ray Wizard,ea0ad155451ed1f5,"46c8ec317aff28ac,ea0ad155451ed1f5","Patrick Smith,Ray Wizard","W,L","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1, 0]","[0, 1]","[0, 0]","[0, 1]","Denver, Colorado, USA","[0, 0]",,"[1, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[0, 0]","[1, 0]","[0, 1]","[0, 0]",No Time Limit,"[2, 1]","[1, 2]","[0, 0]","[1, 2]",Open Weight Bout,Patrick Smith
"[0, 1]","[1, 0]","[0, 0]","[1, 0]","[2, 1]","[1, 2]","[0, 0]","[1, 2]","March 11, 1994",KO/TKO,"[1, 1]","[1, 2]","[1, 0]","[1, 1]",1,12:13,ccee020be2e8d9f6,Johnny Rhodes,319fa1bd3176bded,David Levicki,49590e0508b2c19f,"319fa1bd3176bded,49590e0508b2c19f","Johnny Rhodes,David Levicki","W,L","[1, 9]","[15, 1]","[0, 6]","[9, 1]","[4, 9]","[15, 5]","[1, 6]","[9, 4]","[0, 0]","[0, 1]","[1, 0]","[0, 0]","[1, 0]","Denver, Colorado, USA","[0, 0]",,"[0, 0]","[4, 11]","[17, 5]","[1, 6]","[11, 4]","[0, 1]","[1, 0]","[0, 0]","[1, 0]",No Time Limit,"[95, 74]","[86, 102]","[7, 12]","[74, 95]",Open Weight Bout,Johnny Rhodes
"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","March 11, 1994",Submission,"[0, 1]","[1, 0]","[0, 0]","[1, 0]",1,4:52,d917c8c7461b9831,Frank Hamaker,c3c23c99477c041b,Thaddeus Luster,505934897b8b4824,"c3c23c99477c041b,505934897b8b4824","Frank Hamaker,Thaddeus Luster","W,L","[0, 1]","[2, 0]","[0, 1]","[1, 0]","[0, 2]","[3, 0]","[0, 1]","[2, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","Denver, Colorado, USA","[1, 0]",,"[3, 0]","[0, 2]","[3, 0]","[0, 1]","[2, 0]","[0, 1]","[1, 1]","[1, 0]","[1, 0]",No Time Limit,"[0, 14]","[15, 0]","[0, 1]","[14, 0]",Open Weight Bout,Frank Hamaker
"[0, 1]","[1, 1]","[1, 0]","[1, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","March 11, 1994",KO/TKO,"[2, 1]","[3, 6]","[4, 2]","[1, 2]",1,2:50,3b020d4914b44fc8,Orlando Wiet,a6c2f5381d575920,Robert Lucarelli,96087e90d900f0ef,"a6c2f5381d575920,96087e90d900f0ef","Orlando Wiet,Robert Lucarelli","W,L","[0, 7]","[9, 0]","[0, 2]","[7, 0]","[1, 7]","[11, 2]","[1, 4]","[7, 1]","[0, 0]","[1, 0]","[0, 3]","[2, 0]","[0, 1]","Denver, Colorado, USA","[0, 0]",,"[0, 1]","[2, 8]","[12, 6]","[4, 4]","[8, 2]","[1, 0]","[0, 1]","[0, 0]","[0, 1]",No Time Limit,"[2, 11]","[15, 6]","[4, 4]","[11, 2]",Open Weight Bout,Orlando Wiet
"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","March 11, 1994",Submission,"[1, 0]","[1, 1]","[0, 1]","[0, 1]",1,9:51,17ee4caf06981b81,Remco Pardoel,749685d24e2cac50,Alberta Cerra Leon,6e02c318762f52f1,"749685d24e2cac50,6e02c318762f52f1","Remco Pardoel,Alberta Cerra Leon","W,L","[0, 4]","[5, 2]","[2, 1]","[4, 0]","[1, 4]","[5, 3]","[2, 1]","[4, 1]","[0, 0]","[0, 0]","[1, 0]","[0, 1]","[0, 0]","Denver, Colorado, USA","[0, 0]",,"[1, 0]","[1, 4]","[6, 3]","[2, 2]","[4, 1]","[0, 1]","[1, 0]","[0, 0]","[1, 0]",No Time Limit,"[9, 20]","[22, 11]","[2, 2]","[20, 9]",Open Weight Bout,Remco Pardoel
"[0, 1]","[2, 0]","[0, 1]","[1, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","March 11, 1994",Submission,"[0, 2]","[4, 2]","[2, 2]","[2, 0]",1,6:41,c53325be8ce33b8b,Jason DeLucia,6ceff86fae4f6b3b,Scott Baker,7d5b12de1625984e,"6ceff86fae4f6b3b,7d5b12de1625984e","Jason DeLucia,Scott Baker","W,L","[0, 1]","[1, 0]","[0, 0]","[1, 0]","[0, 1]","[2, 2]","[2, 1]","[1, 0]","[0, 0]","[0, 1]","[1, 0]","[0, 0]","[1, 0]","Denver, Colorado, USA","[4, 2]",,"[5, 0]","[0, 3]","[5, 2]","[2, 2]","[3, 0]","[1, 0]","[1, 1]","[0, 1]","[0, 1]",No Time Limit,"[14, 20]","[25, 23]","[9, 5]","[20, 14]",Open Weight Bout,Jason DeLucia
"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","March 11, 1994",Submission,"[0, 2]","[4, 2]","[2, 2]","[2, 0]",1,5:08,fcd8e8ec45eb6b9f,Royce Gracie,429e7d3725852ce9,Minoki Ichihara,4565d435005319c0,"429e7d3725852ce9,4565d435005319c0","Royce Gracie,Minoki Ichihara","W,L","[3, 0]","[0, 5]","[2, 0]","[0, 3]","[3, 0]","[0, 6]","[3, 0]","[0, 3]","[0, 0]","[0, 2]","[4, 1]","[1, 2]","[2, 0]","Denver, Colorado, USA","[0, 0]",,"[2, 0]","[3, 2]","[4, 7]","[4, 2]","[2, 3]","[0, 1]","[1, 0]","[0, 0]","[1, 0]",No Time Limit,"[12, 110]","[114, 16]","[4, 4]","[110, 12]",Open Weight Bout,Royce Gracie
"[0, 1]","[1, 0]","[0, 0]","[1, 0]","[0, 1]","[1, 0]","[0, 0]","[1, 0]","March 11, 1994",KO/TKO,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",1,0:30,8ea72cf82fac07f6,Patrick Smith,46c8ec317aff28ac,Scott Morris,be9d259be012e8a4,"46c8ec317aff28ac,be9d259be012e8a4","Patrick Smith,Scott Morris","W,L","[0, 12]","[16, 0]","[0, 4]","[12, 0]","[0, 12]","[16, 0]","[0, 4]","[12, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","Denver, Colorado, USA","[0, 0]",,"[0, 0]","[0, 13]","[17, 0]","[0, 4]","[13, 0]","[0, 0]","[0, 1]","[1, 0]","[0, 0]",No Time Limit,"[0, 19]","[25, 0]","[0, 6]","[19, 0]",Open Weight Bout,Patrick Smith
"[2, 0]","[0, 4]","[2, 0]","[0, 2]","[0, 1]","[2, 0]","[0, 1]","[1, 0]","March 11, 1994",Submission,"[4, 3]","[6, 7]","[3, 3]","[3, 4]",1,3:07,b72acedda7ddc006,Johnny Rhodes,319fa1bd3176bded,Fred Ettish,8d5daf67983b65ba,"319fa1bd3176bded,8d5daf67983b65ba","Johnny Rhodes,Fred Ettish","W,L","[0, 9]","[21, 0]","[0, 12]","[9, 0]","[0, 12]","[28, 1]","[1, 16]","[12, 0]","[1, 0]","[2, 1]","[1, 2]","[0, 0]","[1, 2]","Denver, Colorado, USA","[0, 0]",,"[1, 0]","[4, 13]","[29, 7]","[3, 16]","[13, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",No Time Limit,"[7, 21]","[38, 11]","[4, 17]","[21, 7]",Open Weight Bout,Johnny Rhodes
